"Departement";"2013_C";"2013_D";"2013_E";"2013_F";"2013_G";"2013_H";"2013_I";"2013_J";"2013_K";"2013_L";"2013_M";"2013_N";"2013_P";"2013_Q";"2013_R";"2013_S";"2023_C";"2023_D";"2023_E";"2023_F";"2023_G";"2023_H";"2023_I";"2023_J";"2023_K";"2023_L";"2023_M";"2023_N";"2023_P";"2023_Q";"2023_R";"2023_S"
"91";"Tarn-et-Garonne";86;21;2;322;433;11;67;37;7;35;154;120;79;133;83;154;182;128;5;305;449;140;88;115;18;94;298;320;124;176;118;321
"92";"Territoire de Belfort";25;3;5;91;243;4;27;29;6;6;72;42;30;65;28;81;76;45;2;91;255;102;26;60;6;36;155;94;55;62;40;130
"93";"Val-d'Oise";241;1;22;836;1422;474;122;421;57;115;953;465;416;396;307;442;379;172;33;862;2221;3229;359;1451;99;356;3191;1640;1093;779;587;1346
"94";"Val-de-Marne";265;5;13;833;1497;539;144;727;96;98;1609;535;535;599;527;450;413;104;35;995;2235;3824;421;2143;97;377;4965;1855;1491;1063;854;1488
"95";"Var";407;33;15;1690;2248;100;416;256;72;129;962;777;466;828;378;901;784;245;21;1742;1965;961;537;626;49;637;1906;2523;800;870;514;1984
"96";"Vaucluse";199;37;5;790;1081;38;203;117;13;58;469;295;240;344;165;475;384;117;7;769;1197;640;251;308;28;219;882;1026;362;341;274;820
"97";"Vendee";186;20;8;320;780;18;149;101;35;80;297;192;144;280;158;271;356;347;49;321;812;192;172;248;35;223;675;515;312;369;262;735
"98";"Vienne";104;6;3;263;573;15;80;81;19;45;253;109;104;187;106;217;249;174;5;249;662;207;120;229;24;110;502;399;192;263;198;401
"99";"Vosges";118;80;12;253;574;15;95;52;20;29;183;83;77;119;85;198;230;125;12;292;479;108;79;92;15;78;286;337;133;164;106;337
"100";"Yonne";75;3;9;214;570;13;62;48;11;33;168;87;64;139;93;143;165;189;16;266;489;201;89;119;21;76;299;292;149;142;121;296
"101";"Yvelines";248;5;14;797;1407;264;119;637;86;151;1614;522;640;604;430;575;535;179;21;808;2051;2647;398;1663;117;448;4005;1665;1455;862;711;1558
